id,level,title,skill,n_exercises,n_items,identify_items,identify_ratio,has_reading_comprehension,has_matching,has_true_false,has_typing_selfcheck,has_character,n_rules,narrative_paras,score,classification,path
i-alphabetum-et-soni,I,Alphabetum et Soni,pronuntiatio,3,11,0,0.0,False,True,True,False,False,4,2,2,B,curriculum/i/alphabetum-et-soni.json
i-vocales-et-diphthongi,I,Vocales et Diphthongi,pronuntiatio,3,11,0,0.0,False,True,False,False,False,5,2,1,B,curriculum/i/vocales-et-diphthongi.json
i-consonantes,I,Consonantes,pronuntiatio,3,11,0,0.0,False,True,True,False,False,5,1,1,B,curriculum/i/consonantes.json
i-syllabae-et-accentus,I,Syllabae et Accentus,pronuntiatio,3,11,0,0.0,False,True,True,False,False,4,1,1,B,curriculum/i/syllabae-et-accentus.json
i-salutationes,I,Salutationes,functionale,3,9,1,0.11,False,True,False,False,True,6,1,2,B,curriculum/i/salutationes.json
i-numeri,I,Numerī,vocabularium,3,11,0,0.0,False,True,False,False,False,5,1,0,B,curriculum/i/numeri.json
i-sum-verbum-essendi,I,Sum: Verbum Essendi,grammatica,3,11,1,0.09,False,True,False,False,True,4,1,2,B,curriculum/i/sum-verbum-essendi.json
i-pronomina-personalia,I,Prōnōmina Persōnālia,grammatica,3,11,4,0.36,False,True,False,False,False,4,1,-1,C,curriculum/i/pronomina-personalia.json
i-lectio-et-auditio-prima,I,Lectiō et Audītiō Prīma,lectio,3,11,0,0.0,True,False,True,False,True,2,1,4,A,curriculum/i/lectio-et-auditio-prima.json
ii-declinatio-prima,II,Declinatio Prima,grammatica,5,18,5,0.28,True,True,False,False,True,3,2,5,A,curriculum/ii/declinatio-prima.json
ii-declinatio-secunda-masculina,II,Declinatio Secunda: Masculina,grammatica,3,11,5,0.45,False,True,False,False,False,4,1,-1,C,curriculum/ii/declinatio-secunda-masculina.json
ii-declinatio-secunda-neutra,II,Declinatio Secunda: Neutra,grammatica,3,10,0,0.0,False,True,True,False,False,3,1,2,B,curriculum/ii/declinatio-secunda-neutra.json
ii-adiectiva-primae-et-secundae-classis,II,Adiectiva Primae et Secundae Classis,grammatica,3,13,3,0.23,False,False,False,False,False,3,1,-1,C,curriculum/ii/adiectiva-primae-et-secundae-classis.json
ii-praepositiones-cum-accusativo-et-ablativo,II,Praepositiones cum Accusativo et Ablativo,grammatica,3,11,0,0.0,False,True,False,False,False,4,1,0,B,curriculum/ii/praepositiones-cum-accusativo-et-ablativo.json
ii-coniugatio-prima,II,Coniugatio Prima,grammatica,5,19,2,0.11,True,False,True,False,True,4,2,5,A,curriculum/ii/coniugatio-prima.json
ii-coniugatio-secunda,II,Coniugatio Secunda,grammatica,3,11,3,0.27,False,True,False,False,False,3,1,1,B,curriculum/ii/coniugatio-secunda.json
